Station,Latitude_in_deg_final,Longitude_in_deg_final,UTM_easting_in_meters_final,UTM_northing_in_meters_final,Height_above_WGS84_ellipsoid_in_meters_final,Height_above_unkown_geoid_in_meters_final,Start_Date,Start_Time,Stop_Date,Stop_Time,Orientation_from_true_North,Notes
N150,39.80042488,-119.00986010,327934.084,4407538.954,1227.187,1251.620,2016-03-08,18:05:09.912,2016-03-26,24:00:10.922,355,
N151,39.80101318,-119.00937390,327977.178,4407603.320,1228.214,1252.645,2016-03-07,22:25:15.160,2016-03-26,24:00:16.170,357,
N152,39.80158027,-119.00885900,328022.675,4407665.276,1229.503,1253.934,2016-03-07,23:17:38.590,2016-03-26,22:30:09.590,350,
N153,39.80197823,-119.00854110,328050.884,4407708.838,1230.513,1254.942,2016-03-08,17:12:57.866,2016-03-26,24:00:28.876,352,
N154,39.80246697,-119.00805870,328093.403,4407762.161,1231.802,1256.230,2016-03-08,18:52:55.762,2016-03-26,22:49:26.762,004,
N155,39.80336231,-119.00711840,328176.136,4407859.736,1234.936,1259.362,2016-03-08,22:23:57.354,2016-03-26,22:37:28.354,351,
N156,39.80376788,-119.00683660,328201.271,4407904.212,1236.043,1260.468,2016-03-08,19:32:10.814,2016-03-26,22:36:41.814,350,
N157,39.80459345,-119.00615640,328261.560,4407994.544,1237.013,1261.436,2016-03-08,20:58:40.330,2016-03-26,22:37:41.330,000,
N158,39.80489264,-119.00583760,328289.598,4408027.142,1238.337,1262.759,2016-03-08,21:43:59.522,2016-03-26,22:37:00.522,003,
N159,39.80534500,-119.00551420,328318.410,4408076.732,1238.715,1263.136,2016-03-08,21:36:58.032,2016-03-26,22:48:59.032,355,
N160,39.80576051,-119.00501160,328362.472,4408121.889,1239.268,1263.688,2016-03-08,21:28:19.676,2016-03-26,22:48:50.676,353,
N161,39.80641,-119.00456,328403,4408193,1241,1266,2016-03-10,21:22:49.344,2016-03-26,24:00:20.354,003,Located by handheld GPS
N162,39.80735761,-119.00361600,328485.921,4408296.489,1244.629,1269.044,2016-03-10,00:19:15.632,2016-03-26,22:28:46.632,358,
N163,39.80783502,-119.00312180,328529.415,4408348.533,1245.336,1269.750,2016-03-10,00:04:37.526,2016-03-26,22:29:38.526,353,
N164,39.80856587,-119.00261560,328574.566,4408428.686,1246.885,1271.297,2016-03-09,23:46:12.506,2016-03-26,24:00:13.516,350,
N165,39.80972412,-119.00155700,328668.066,4408555.223,1247.940,1272.349,2016-03-09,20:04:09.460,2016-03-26,22:29:10.460,004,
N166,39.81000646,-119.00117210,328701.717,4408585.825,1248.813,1273.221,2016-03-09,19:26:44.820,2016-03-26,22:48:15.820,346,
N167,39.81078150,-119.00056910,328755.261,4408670.699,1251.187,1275.593,2016-03-09,22:45:58.112,2016-03-27,00:36:59.110,357,
N168,39.81178593,-118.99966240,328835.371,4408780.454,1251.847,1276.249,2016-03-09,21:58:11.510,2016-03-27,00:37:12.508,004,
